           Comp,1      Comp,2        Comp,3       Comp,4      Comp,5       Comp,6        Comp,7
 [1,]  0,14436269  0,64689750  1,6972248450  0,418956845 -0,06140125  0,588306314 -1,037058e-04
 [2,]  1,54537833  1,41204213 -0,1025860163 -0,265300970 -0,30414552  0,099837513  9,895730e-05
 [3,]  1,81350962  0,91631812 -1,1316692544 -0,272743996 -0,10764191 -0,119059363  7,664437e-05
 [4,]  0,05543978  0,33368507  0,2212147769  0,128789727  0,51324413  0,216474559 -5,914558e-05
 [5,]  2,05061072  1,59421264  3,1092198090  1,219576323  0,76064725 -1,253859822 -5,264603e-05
 [6,]  1,61006481  0,91785135 -0,9853110262  0,617980220 -0,63099220  0,087020867 -1,077084e-04
 [7,]  0,38999090  0,60629555  0,1515179341 -0,499490254  1,53839102  0,362402309  7,430846e-05
 [8,]  0,93598040  1,35092940 -0,3687705901 -0,389104751 -0,59072213 -0,074820190  1,192858e-04
 [9,]  2,33639142  0,06266211 -0,9457343847 -0,164017254 -0,12995471 -0,076140553  9,070754e-06
[10,]  1,52596595  0,61450073 -0,3506335679 -1,189893751 -0,17725632 -0,003515363 -6,444645e-04
[11,]  2,07579220  1,09748319  1,5628974940  0,209375465  0,47019263  0,523086312 -1,155773e-05
[12,]  1,09581284  0,49331124  0,1523583937  0,195979056  0,06337993  0,217699112 -5,305421e-05
[13,]  0,77398523  1,03200776 -1,2595201342  0,250912296  0,29622673 -0,014851908 -3,387855e-05
[14,] -2,34488896  0,43444482 -0,4413124125 -0,367541506  0,69354913 -0,051836735  2,567579e-05
[15,]  6,11521096 -4,05380781  0,1319477560  0,477823855 -0,20919115  0,192741883 -3,274537e-04
[16,]  1,12705531  0,60029340 -0,4369390185  0,085403044 -0,52788201  0,066779848 -2,359825e-05
[17,]  1,24119037  1,31884400 -1,1811527021 -1,273858010 -0,64223275 -0,586933532  3,118066e-04
[18,]  0,65013138  0,85338980  0,7460541318 -0,275214506 -0,26035366  0,217328347  5,887466e-05
[19,]  1,30639149  0,55965014 -0,1159144841  0,599225459 -0,14668551  0,247496229  7,466962e-04
[20,]  0,40811098  1,29982874 -1,2446220955 -0,017573443  0,09821432 -0,135945031  3,644435e-05
[21,] -1,86839037 -0,58066864 -0,4527208161  0,356719554  0,49749176 -0,014843252 -1,717250e-04
[22,] -2,00511269 -1,60159930  0,3120383442 -0,574652938 -0,08366139 -0,065219571 -4,829570e-05
[23,] -1,69571463  2,22045681  0,9813740853  0,081791645 -1,19386970  0,141512248  5,247924e-05
[24,] -1,75659722 -1,15487452 -0,2143906517  0,702098574  0,08128836  0,001802418 -2,709758e-04
[25,]  1,01209416 -1,22118236 -1,1865547566 -0,907460297  1,71516301 -0,222536319  7,029866e-05
[26,] -3,17558850  1,11983590 -0,2903119699  0,430690370 -0,50018385 -0,016219584 -9,802657e-05
[27,] -0,34088120 -1,96596348 -0,0681970289  0,347395962 -1,09520176 -0,186351818  6,477427e-04
[28,] -1,53149570  0,30521748 -0,5333088504  0,010528524 -0,34610163 -0,154431491 -9,185901e-04
[29,] -1,25076548 -1,56176155 -0,6036787027  1,161601202 -0,19038411 -0,048765447 -3,794326e-04
[30,] -0,55806221 -1,72980575 -0,8667431398  1,207816909  0,22623369  0,078262050  4,754473e-04
[31,] -2,05134704  0,89188931  0,0293962717  0,419470957  0,08024325  0,096698409 -9,952043e-05
[32,] -1,93844207 -1,07026426 -0,2447135103  0,007018736  0,45106607 -0,073650221  7,454665e-04
[33,] -2,26563399 -0,27487416 -0,0002092057 -0,389962841  0,44749590 -0,054426330 -8,296340e-06
[34,] -1,54188280 -0,18955718 -0,5488036505  0,239162678 -0,01643188 -0,097592911 -1,195105e-04
[35,] -0,96209504  0,77369783  1,4157065784 -0,708864130  0,06644265  0,182008019  1,290252e-04
[36,] -1,00818316 -0,64394819  1,4245867835 -0,675571050  0,16578206  0,241806188  3,312848e-05
[37,] -1,15101339 -1,74638307 -0,2918082046  0,335577520 -0,10960504 -0,110343148 -2,249159e-04
[38,] -0,76737507 -3,66105476  1,9300689699 -1,532645224 -0,84115339 -0,199920033  4,514929e-05
