ASSIS	12897	12500	12500	854685	900000	937500	60	60	60	3000	3000	3000	300	400	400	7500	10000	10000	3	3	3	1440	1440	1440	800	1000	800	82400	70000	80000	4500	4500	4500	261000	315000	261000	5900	6200	6400	295000	248000	320000
CAMPOS NOVOS PAULISTA	6000	6500	6500	348480	422500	422500	50	50	50	3000	3000	3000	3850	3500	3500	96250	87500	87500	0	0	0	0	0	0	1000	1500	1000	100000	120000	90000	10000	9500	9500	130000	665000	494000	12000	12000	12500	624000	480000	625000
CANDIDO MOTA	20800	21000	22000	1475173	1785000	1870000	50	50	50	3000	3500	3500	1500	1500	1000	49500	49500	33000	50	20	30	50000	12000	18000	2000	3000	1500	200000	210000	172500	23500	22500	22500	705000	1687500	1687500	24000	23000	23500	1296000	966000	1269000
CRUZALIA	3015	2892	2892	257048	245820	245820	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1200	1200	1200	600	600	500	69000	28800	24000	8000	8000	8000	320000	640000	600000	8000	8000	7500	440000	304000	405000
ECHAPORA	7300	6200	6200	473533	403000	403000	20	20	20	1200	1000	1000	1000	1500	1500	30000	45000	45000	0	15	2	0	13050	960	250	300	400	21250	18000	32000	700	600	600	30100	39000	39000	850	1100	1400	42500	44000	67200
FLORINEA	9500	9000	9000	814506	765000	765000	4	4	0	400	280	0	0	0	0	0	0	0	0	0	2	0	0	1500	800	1000	200	88000	65000	22000	5000	5000	5500	325000	450000	467500	5500	5500	6500	302500	198000	390000
IBIRAREMA	11100	9200	9200	681679	598000	598000	0	20	20	0	1200	1200	1000	700	800	30000	21000	24000	0	0	0	0	0	0	300	500	400	34500	42500	34000	5500	5750	6000	110000	431250	420000	6000	6500	6800	312000	260000	340000
IEPE	14000	16000	16000	1120000	1120000	1120000	0	0	0	0	0	0	100	0	0	2500	0	0	0	0	0	0	0	0	300	580	300	20400	69600	25500	7500	8500	8000	562500	739500	424000	7500	8500	8000	435000	382500	448000
LUTECIA	7000	9700	9700	425250	679000	679000	180	180	150	9000	9000	9000	500	750	750	12500	18750	18750	0	0	0	0	0	0	500	500	500	45000	32500	37500	3000	3000	2500	90000	186000	95000	3500	3500	3500	175000	133000	164500
MARACAI	18700	17500	17500	1293890	1312000	1312500	20	20	20	1200	1200	1200	300	400	300	9000	12000	9000	10	10	10	8000	6500	6500	1000	1300	1000	115000	104000	100000	21000	21000	21000	630000	1512000	1575000	22400	21500	21800	1209600	731000	1133600
NANTES	8200	9200	10000	697000	782000	850000	150	150	180	9750	9750	9750	60	0	0	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8600	8000	9000	516000	400000	450000	8000	8200	8000	304000	410000	304000
OSCAR BRESSANE	266	260	435	19950	26000	39150	230	230	300	10350	10350	15000	0	107	0	0	1495	0	0	0	0	0	0	0	320	112	206	12800	4500	9256	30	60	0	900	1936	0	0	0	0	0	0	0
PALMITAL	22310	21000	19950	1370113	1470000	1396500	0	0	0	0	0	0	2000	1800	1800	60000	54000	54000	0	0	0	0	0	0	1000	2400	1800	110000	216000	162000	21000	20500	21000	525000	1537500	1365000	20700	19080	20500	1035000	725040	1025000
PARAGUACU PAULISTA	59600	54000	47731	3699122	3888000	3579825	0	0	0	0	0	0	700	720	600	17500	18000	15000	0	5	5	0	2400	2500	600	700	800	48000	49000	64000	2000	2000	3000	140000	140000	210000	2000	2500	3000	90000	95000	150000
PEDRINHAS PAULISTA	1500	2700	2700	119286	243000	229500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	700	250	77000	52500	27500	7500	7000	7250	300000	560000	616250	8000	7000	7000	448000	245000	364000
PLATINA	6800	6400	6600	421274	448000	448800	20	20	60	1200	1200	3000	840	650	650	25200	19500	19500	0	0	2	0	0	800	1200	1200	1000	138000	78000	100000	7600	7000	7000	228000	525000	455000	8300	8300	8500	431600	315400	425000
QUATA	24000	27000	29000	1393920	1836000	2175000	300	200	200	15000	12000	12000	700	500	700	17500	12500	17500	100	5	0	40000	2500	0	120	200	200	8400	12000	14000	0	0	200	0	0	11000	300	900	750	12000	31500	30000
TARUMA	21000	20200	20200	1576567	1717000	1818000	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	2500	2500	2500	250	450	250	28750	36000	20000	3200	2500	2500	112000	182500	180000	3500	3300	3500	196000	118800	192500
